Frequency (Hz)	Level (dB)
31,250000	-32,033184
62,500000	-30,900000
93,750000	-63,298035
125,000000	-51,302544
156,250000	-62,935051
187,500000	-58,234337
218,750000	-60,765450
250,000000	-52,099808
281,250000	-59,082207
312,500000	-69,068466
343,750000	-57,096329
375,000000	-72,971184
406,250000	-63,670925
437,500000	-62,067287
468,750000	-58,423534
500,000000	-65,789742
531,250000	-61,412876
562,500000	-62,888535
593,750000	-65,917130
625,000000	-69,767616
656,250000	-74,814270
687,500000	-69,422920
718,750000	-67,387115
750,000000	-61,708752
781,250000	-66,251022
812,500000	-66,113815
843,750000	-77,882645
875,000000	-74,061569
906,250000	-74,706940
937,500000	-70,950226
968,750000	-70,436829
1000,000000	-79,816704
1031,250000	-79,590439
1062,500000	-72,708527
1093,750000	-69,501701
1125,000000	-68,192795
1156,250000	-69,304688
1187,500000	-68,929489
1218,750000	-72,615677
1250,000000	-67,823799
1281,250000	-71,490120
1312,500000	-84,144875
1343,750000	-68,154129
1375,000000	-75,631859
1406,250000	-93,744461
1437,500000	-84,296013
1468,750000	-79,111572
1500,000000	-80,342476
1531,250000	-85,543831
1562,500000	-73,050400
1593,750000	-84,067314
1625,000000	-78,080467
1656,250000	-70,933617
1687,500000	-78,971603
1718,750000	-76,255959
1750,000000	-77,944885
1781,250000	-77,974571
1812,500000	-75,340294
1843,750000	-73,297371
1875,000000	-75,939568
1906,250000	-73,826019
1937,500000	-81,474174
1968,750000	-74,996925
2000,000000	-72,889481
2031,250000	-82,841507
2062,500000	-82,455658
2093,750000	-76,526390
2125,000000	-76,683342
2156,250000	-80,394783
2187,500000	-81,369270
2218,750000	-79,124725
2250,000000	-81,829666
2281,250000	-74,797661
2312,500000	-71,838768
2343,750000	-80,121254
2375,000000	-91,861198
2406,250000	-75,297874
2437,500000	-79,103195
2468,750000	-74,181396
2500,000000	-75,881767
2531,250000	-81,719971
2562,500000	-82,406242
2593,750000	-86,057922
2625,000000	-87,115387
2656,250000	-79,055336
2687,500000	-73,145035
2718,750000	-75,257614
2750,000000	-74,344337
2781,250000	-75,932648
2812,500000	-81,545654
2843,750000	-94,365273
2875,000000	-80,382851
2906,250000	-83,759132
2937,500000	-73,868935
2968,750000	-76,316376
3000,000000	-76,126709
3031,250000	-81,338654
3062,500000	-77,445290
3093,750000	-78,526306
3125,000000	-78,529648
3156,250000	-92,481354
3187,500000	-70,894943
3218,750000	-73,984726
3250,000000	-83,715477
3281,250000	-81,775116
3312,500000	-77,887650
3343,750000	-81,023705
3375,000000	-97,297272
3406,250000	-77,638588
3437,500000	-79,101463
3468,750000	-84,554123
3500,000000	-74,493378
3531,250000	-82,652550
3562,500000	-73,611404
3593,750000	-72,223686
3625,000000	-84,952255
3656,250000	-87,022881
3687,500000	-87,295891
3718,750000	-84,286560
3750,000000	-80,287209
3781,250000	-80,858704
3812,500000	-79,574364
3843,750000	-89,650459
3875,000000	-83,458282
3906,250000	-75,374290
3937,500000	-82,862938
3968,750000	-88,199760
4000,000000	-90,271103
4031,250000	-79,864601
4062,500000	-80,343178
4093,750000	-75,340317
4125,000000	-78,996864
4156,250000	-77,315483
4187,500000	-85,387756
4218,750000	-87,712105
4250,000000	-85,316109
4281,250000	-89,238594
4312,500000	-81,869141
4343,750000	-84,846329
4375,000000	-81,892853
4406,250000	-80,326920
4437,500000	-83,383278
4468,750000	-82,329376
4500,000000	-80,877747
4531,250000	-82,877579
4562,500000	-81,149879
4593,750000	-89,780014
4625,000000	-76,159218
4656,250000	-78,257820
4687,500000	-87,432594
4718,750000	-81,467728
4750,000000	-77,618660
4781,250000	-90,103615
4812,500000	-82,469940
4843,750000	-81,153603
4875,000000	-78,568069
4906,250000	-85,258331
4937,500000	-84,438171
4968,750000	-94,873184
5000,000000	-82,273598
5031,250000	-81,576950
5062,500000	-82,168175
5093,750000	-77,943771
5125,000000	-83,390701
5156,250000	-87,567657
5187,500000	-88,381760
5218,750000	-82,400085
5250,000000	-85,992088
5281,250000	-89,020332
5312,500000	-79,160927
5343,750000	-82,934364
5375,000000	-85,484322
5406,250000	-78,270180
5437,500000	-77,855553
5468,750000	-84,723602
5500,000000	-98,702179
5531,250000	-82,509979
5562,500000	-86,157372
5593,750000	-80,656296
5625,000000	-86,923058
5656,250000	-78,356606
5687,500000	-94,570023
5718,750000	-90,217140
5750,000000	-83,785271
5781,250000	-84,391212
5812,500000	-94,903740
5843,750000	-88,831383
5875,000000	-83,835472
5906,250000	-77,100708
5937,500000	-80,034126
5968,750000	-80,512054
6000,000000	-79,158340
6031,250000	-83,354797
6062,500000	-99,629173
6093,750000	-87,475548
6125,000000	-85,924171
6156,250000	-90,710655
6187,500000	-80,374847
6218,750000	-81,337769
6250,000000	-86,975861
6281,250000	-82,059555
6312,500000	-81,991608
6343,750000	-81,454498
6375,000000	-89,525230
6406,250000	-82,833809
6437,500000	-82,639130
6468,750000	-78,043419
6500,000000	-81,828636
6531,250000	-83,877739
6562,500000	-86,948082
6593,750000	-82,072517
6625,000000	-82,174309
6656,250000	-87,274818
6687,500000	-82,461342
6718,750000	-100,591774
6750,000000	-88,474174
6781,250000	-88,319214
6812,500000	-90,254677
6843,750000	-84,318222
6875,000000	-94,944626
6906,250000	-88,300095
6937,500000	-85,324432
6968,750000	-87,439430
7000,000000	-91,677025
7031,250000	-81,413994
7062,500000	-84,393692
7093,750000	-89,517769
7125,000000	-96,416649
7156,250000	-92,504585
7187,500000	-84,181122
7218,750000	-85,251228
7250,000000	-93,593002
7281,250000	-98,218460
7312,500000	-88,420189
7343,750000	-90,134949
7375,000000	-93,942795
7406,250000	-86,219780
7437,500000	-98,411812
7468,750000	-92,795509
7500,000000	-86,420410
7531,250000	-103,358582
7562,500000	-88,097595
7593,750000	-93,929184
7625,000000	-89,172256
7656,250000	-94,130920
7687,500000	-102,170944
7718,750000	-87,960258
