Frequency (Hz)	Level (dB)
31,250000	-67,114075
62,500000	-62,428631
93,750000	-61,120956
125,000000	-57,282066
156,250000	-66,678421
187,500000	-74,027664
218,750000	-75,977295
250,000000	-74,609642
281,250000	-70,893929
312,500000	-71,538132
343,750000	-71,045189
375,000000	-69,021965
406,250000	-67,215988
437,500000	-62,751205
468,750000	-44,394306
500,000000	-41,598812
531,250000	-45,399921
562,500000	-44,748486
593,750000	-43,182777
625,000000	-37,056488
656,250000	-38,705746
687,500000	-45,290146
718,750000	-53,084358
750,000000	-51,315269
781,250000	-48,587402
812,500000	-35,157177
843,750000	-33,479637
875,000000	-43,428295
906,250000	-66,695084
937,500000	-53,910397
968,750000	-43,795837
1000,000000	-45,392605
1031,250000	-56,916607
1062,500000	-57,926163
1093,750000	-48,132370
1125,000000	-50,421951
1156,250000	-64,179466
1187,500000	-62,119495
1218,750000	-45,713551
1250,000000	-41,047798
1281,250000	-44,946041
1312,500000	-44,789204
1343,750000	-48,797180
1375,000000	-64,366669
1406,250000	-71,117157
1437,500000	-54,563389
1468,750000	-46,237904
1500,000000	-48,011696
1531,250000	-60,851833
1562,500000	-70,136421
1593,750000	-56,509094
1625,000000	-40,628757
1656,250000	-36,783844
1687,500000	-39,865471
1718,750000	-51,270306
1750,000000	-71,319817
1781,250000	-73,957481
1812,500000	-61,308136
1843,750000	-48,954292
1875,000000	-47,632915
1906,250000	-48,785652
1937,500000	-44,731792
1968,750000	-42,257969
2000,000000	-45,668037
2031,250000	-58,226646
2062,500000	-70,661407
2093,750000	-74,869133
2125,000000	-74,514717
2156,250000	-59,725292
2187,500000	-49,829678
2218,750000	-47,731232
2250,000000	-51,989384
2281,250000	-63,076286
2312,500000	-71,947060
2343,750000	-70,805641
2375,000000	-69,144028
2406,250000	-60,637459
2437,500000	-48,556847
2468,750000	-40,799282
2500,000000	-37,729771
2531,250000	-39,407120
2562,500000	-46,434505
2593,750000	-52,170071
2625,000000	-46,949223
2656,250000	-48,691334
2687,500000	-55,187679
2718,750000	-62,533867
2750,000000	-61,407791
2781,250000	-57,254292
2812,500000	-60,719845
2843,750000	-72,507179
2875,000000	-69,543655
2906,250000	-63,100147
2937,500000	-56,946255
2968,750000	-56,107128
3000,000000	-61,181145
3031,250000	-67,569977
3062,500000	-55,817356
3093,750000	-51,440269
3125,000000	-52,392956
3156,250000	-56,908062
3187,500000	-61,145721
3218,750000	-63,943920
3250,000000	-54,450848
3281,250000	-47,393738
3312,500000	-44,127529
3343,750000	-43,574738
3375,000000	-46,402374
3406,250000	-51,774818
3437,500000	-59,640018
3468,750000	-61,815960
3500,000000	-63,084904
3531,250000	-70,488731
3562,500000	-75,819405
3593,750000	-76,995087
3625,000000	-74,048439
3656,250000	-62,893322
3687,500000	-53,547016
3718,750000	-53,318615
3750,000000	-55,167587
3781,250000	-57,989426
3812,500000	-60,990879
3843,750000	-62,490467
3875,000000	-64,390068
3906,250000	-62,181137
3937,500000	-58,425579
3968,750000	-56,658329
4000,000000	-59,334602
4031,250000	-62,329174
4062,500000	-62,040150
4093,750000	-52,717289
4125,000000	-49,191349
4156,250000	-47,726078
4187,500000	-48,012684
4218,750000	-50,645660
4250,000000	-57,534172
4281,250000	-65,485214
4312,500000	-61,625790
4343,750000	-59,752201
4375,000000	-59,789440
4406,250000	-59,033539
4437,500000	-57,408417
4468,750000	-61,281307
4500,000000	-68,313324
4531,250000	-68,906494
4562,500000	-61,306572
4593,750000	-59,521175
4625,000000	-61,593193
4656,250000	-65,077583
4687,500000	-70,821762
4718,750000	-77,300278
4750,000000	-79,462219
4781,250000	-79,304886
4812,500000	-77,261757
4843,750000	-74,105042
4875,000000	-66,291718
4906,250000	-60,318943
4937,500000	-56,249264
4968,750000	-55,974354
5000,000000	-56,531132
5031,250000	-56,499447
5062,500000	-55,400398
5093,750000	-57,197662
5125,000000	-63,393456
5156,250000	-59,982018
5187,500000	-61,230122
5218,750000	-67,650597
5250,000000	-67,594627
5281,250000	-65,727219
5312,500000	-63,536369
5343,750000	-66,764969
5375,000000	-72,270638
5406,250000	-74,694290
5437,500000	-75,080605
5468,750000	-74,557159
5500,000000	-75,056450
5531,250000	-70,832069
5562,500000	-67,247002
5593,750000	-66,557503
5625,000000	-66,722542
5656,250000	-66,354080
5687,500000	-67,906685
5718,750000	-64,875031
5750,000000	-60,977203
5781,250000	-59,965096
5812,500000	-58,721661
5843,750000	-58,501740
5875,000000	-60,068169
5906,250000	-61,306202
5937,500000	-62,237171
5968,750000	-64,537437
6000,000000	-69,536636
6031,250000	-72,275673
6062,500000	-74,012840
6093,750000	-76,952095
6125,000000	-75,198868
6156,250000	-69,665024
6187,500000	-68,975769
6218,750000	-66,556931
6250,000000	-66,831444
6281,250000	-71,224609
6312,500000	-72,643600
6343,750000	-74,771515
6375,000000	-76,585648
6406,250000	-76,786354
6437,500000	-76,747078
6468,750000	-76,160881
6500,000000	-71,993317
6531,250000	-67,606934
6562,500000	-64,517586
6593,750000	-60,642563
6625,000000	-60,743397
6656,250000	-60,884953
6687,500000	-60,258400
6718,750000	-62,175179
6750,000000	-63,145020
6781,250000	-64,377853
6812,500000	-67,858681
6843,750000	-67,934799
6875,000000	-67,921478
6906,250000	-66,482468
6937,500000	-67,625069
6968,750000	-73,395782
7000,000000	-76,819702
7031,250000	-79,342056
7062,500000	-83,225471
7093,750000	-82,938629
7125,000000	-80,130447
7156,250000	-79,407410
7187,500000	-77,395699
7218,750000	-74,429947
7250,000000	-72,706268
7281,250000	-72,032906
7312,500000	-71,981720
7343,750000	-72,495316
7375,000000	-68,789818
7406,250000	-66,218803
7437,500000	-65,097267
7468,750000	-65,862656
7500,000000	-66,378487
7531,250000	-67,853149
7562,500000	-70,765053
7593,750000	-74,875694
7625,000000	-80,292358
7656,250000	-88,947769
7687,500000	-95,245087
7718,750000	-95,404251
7750,000000	-95,544975
7781,250000	-95,599510
7812,500000	-95,652786
7843,750000	-95,691025
7875,000000	-95,722046
7906,250000	-95,744461
7937,500000	-95,759949
7968,750000	-95,769035
Frequency (Hz)	Level (dB)
31,250000	-67,114029
62,500000	-62,428661
93,750000	-61,120884
125,000000	-57,282070
156,250000	-66,678284
187,500000	-74,027359
218,750000	-75,977211
250,000000	-74,609894
281,250000	-70,893913
312,500000	-71,538559
343,750000	-71,045174
375,000000	-69,022102
406,250000	-67,216042
437,500000	-62,751160
468,750000	-44,394310
500,000000	-41,598812
531,250000	-45,399906
562,500000	-44,748470
593,750000	-43,182777
625,000000	-37,056488
656,250000	-38,705746
687,500000	-45,290154
718,750000	-53,084332
750,000000	-51,315250
781,250000	-48,587399
812,500000	-35,157181
843,750000	-33,479641
875,000000	-43,428310
906,250000	-66,695251
937,500000	-53,910419
968,750000	-43,795834
1000,000000	-45,392616
1031,250000	-56,916683
1062,500000	-57,926052
1093,750000	-48,132343
1125,000000	-50,421932
1156,250000	-64,179611
1187,500000	-62,119469
1218,750000	-45,713551
1250,000000	-41,047802
1281,250000	-44,946045
1312,500000	-44,789196
1343,750000	-48,797153
1375,000000	-64,366653
1406,250000	-71,117165
1437,500000	-54,563454
1468,750000	-46,237923
1500,000000	-48,011688
1531,250000	-60,851803
1562,500000	-70,136253
1593,750000	-56,509010
1625,000000	-40,628750
1656,250000	-36,783840
1687,500000	-39,865467
1718,750000	-51,270302
1750,000000	-71,319687
1781,250000	-73,957497
1812,500000	-61,308170
1843,750000	-48,954308
1875,000000	-47,632896
1906,250000	-48,785656
1937,500000	-44,731800
1968,750000	-42,257980
2000,000000	-45,668045
2031,250000	-58,226730
2062,500000	-70,660835
2093,750000	-74,868652
2125,000000	-74,514816
2156,250000	-59,725311
2187,500000	-49,829712
2218,750000	-47,731213
2250,000000	-51,989346
