Frequency (Hz)	Level (dB)
31,250000	-65,396568
62,500000	-62,251415
93,750000	-62,034771
125,000000	-57,398479
156,250000	-65,939003
187,500000	-82,309105
218,750000	-84,012451
250,000000	-83,607788
281,250000	-92,330681
312,500000	-78,682304
343,750000	-80,850098
375,000000	-86,257637
406,250000	-90,747246
437,500000	-87,831001
468,750000	-88,044090
500,000000	-80,067970
531,250000	-63,385006
562,500000	-62,049725
593,750000	-74,684242
625,000000	-60,028111
656,250000	-51,220173
687,500000	-57,169224
718,750000	-90,056221
750,000000	-80,338531
781,250000	-82,894531
812,500000	-62,847275
843,750000	-60,628181
875,000000	-70,228767
906,250000	-83,545280
937,500000	-92,483444
968,750000	-95,715591
1000,000000	-87,006516
1031,250000	-84,599228
1062,500000	-73,690315
1093,750000	-63,681198
1125,000000	-67,317719
1156,250000	-77,038239
1187,500000	-77,554680
1218,750000	-81,617126
1250,000000	-74,632912
1281,250000	-67,473274
1312,500000	-63,583767
1343,750000	-68,776474
1375,000000	-79,679153
1406,250000	-90,029930
1437,500000	-101,682182
1468,750000	-93,754105
1500,000000	-93,680496
1531,250000	-110,302567
1562,500000	-85,881958
1593,750000	-83,493637
1625,000000	-58,792942
1656,250000	-54,032028
1687,500000	-63,032303
1718,750000	-82,189651
1750,000000	-82,882347
1781,250000	-91,089745
1812,500000	-89,091019
1843,750000	-91,203606
1875,000000	-82,105042
1906,250000	-80,020538
1937,500000	-58,225746
1968,750000	-58,566574
2000,000000	-73,672256
2031,250000	-76,743187
2062,500000	-76,967346
2093,750000	-80,294563
2125,000000	-82,729309
2156,250000	-87,288498
2187,500000	-72,545341
2218,750000	-76,366577
2250,000000	-85,195732
2281,250000	-85,340965
2312,500000	-81,830376
2343,750000	-82,729301
2375,000000	-91,682564
2406,250000	-80,948578
2437,500000	-74,267326
2468,750000	-58,545750
2500,000000	-59,394188
2531,250000	-94,406960
2562,500000	-73,953247
2593,750000	-75,465149
2625,000000	-70,646172
2656,250000	-76,909142
2687,500000	-84,946182
2718,750000	-80,701813
2750,000000	-73,308731
2781,250000	-75,624496
2812,500000	-81,959633
2843,750000	-84,366547
2875,000000	-94,041267
2906,250000	-85,106644
2937,500000	-86,241348
2968,750000	-87,448105
3000,000000	-90,561569
3031,250000	-91,214104
3062,500000	-101,253021
3093,750000	-90,531425
3125,000000	-87,126945
3156,250000	-92,677170
3187,500000	-88,917213
3218,750000	-83,669464
3250,000000	-70,597137
3281,250000	-62,690132
3312,500000	-58,109009
3343,750000	-62,191288
3375,000000	-77,332268
3406,250000	-84,495903
3437,500000	-84,571037
3468,750000	-91,036667
3500,000000	-90,661797
3531,250000	-106,123932
3562,500000	-90,039482
3593,750000	-85,654892
3625,000000	-90,262749
3656,250000	-94,567543
3687,500000	-95,273033
3718,750000	-97,265923
3750,000000	-95,246307
3781,250000	-85,880661
3812,500000	-88,534752
3843,750000	-86,072777
3875,000000	-85,594009
3906,250000	-78,006294
3937,500000	-76,124969
3968,750000	-76,578667
4000,000000	-77,230560
4031,250000	-83,166428
4062,500000	-77,870750
4093,750000	-87,470955
4125,000000	-82,694695
4156,250000	-81,054024
4187,500000	-78,767151
4218,750000	-86,282303
4250,000000	-84,002785
4281,250000	-91,411888
4312,500000	-89,273369
4343,750000	-98,960648
4375,000000	-104,964432
4406,250000	-96,249947
4437,500000	-92,809151
4468,750000	-96,796570
4500,000000	-97,336617
4531,250000	-89,528992
4562,500000	-85,732315
4593,750000	-88,918503
4625,000000	-87,426033
4656,250000	-76,055565
4687,500000	-82,684486
4718,750000	-88,545906
4750,000000	-105,351006
4781,250000	-90,646286
4812,500000	-87,470299
4843,750000	-91,796272
4875,000000	-98,267258
4906,250000	-80,909920
4937,500000	-85,916878
4968,750000	-73,120613
5000,000000	-81,652435
5031,250000	-87,222237
5062,500000	-87,740150
5093,750000	-92,320099
5125,000000	-88,053162
5156,250000	-88,805389
5187,500000	-94,184486
5218,750000	-92,770332
5250,000000	-86,628044
5281,250000	-87,701385
5312,500000	-84,944313
5343,750000	-83,096931
5375,000000	-91,865295
5406,250000	-94,235580
5437,500000	-95,076988
5468,750000	-91,951279
5500,000000	-91,083862
5531,250000	-92,459946
5562,500000	-95,165482
5593,750000	-92,385414
5625,000000	-93,883904
5656,250000	-94,639389
5687,500000	-90,259117
5718,750000	-94,536926
5750,000000	-84,993340
5781,250000	-81,260216
5812,500000	-89,124969
5843,750000	-93,240372
5875,000000	-87,972374
5906,250000	-99,352135
5937,500000	-92,483604
5968,750000	-86,242477
6000,000000	-84,892548
6031,250000	-95,439735
6062,500000	-96,540459
6093,750000	-102,281662
6125,000000	-95,223206
6156,250000	-96,438866
6187,500000	-95,784134
6218,750000	-92,045006
6250,000000	-98,344589
6281,250000	-104,658798
6312,500000	-100,005768
6343,750000	-97,770340
6375,000000	-93,593506
6406,250000	-93,483910
6437,500000	-100,556862
6468,750000	-93,002602
6500,000000	-88,461609
6531,250000	-83,809067
6562,500000	-85,972916
6593,750000	-94,705070
6625,000000	-80,561218
6656,250000	-87,016060
6687,500000	-82,188095
6718,750000	-81,237068
6750,000000	-105,274620
6781,250000	-110,367287
6812,500000	-93,561195
6843,750000	-100,256584
6875,000000	-92,636215
6906,250000	-96,106331
6937,500000	-100,184425
6968,750000	-95,671196
7000,000000	-103,492668
7031,250000	-106,866837
7062,500000	-101,571487
7093,750000	-96,065758
7125,000000	-97,808884
7156,250000	-93,330612
7187,500000	-92,435089
7218,750000	-100,297028
7250,000000	-99,075516
7281,250000	-98,055954
7312,500000	-89,397873
7343,750000	-88,168968
7375,000000	-88,772820
7406,250000	-87,360802
7437,500000	-83,702637
7468,750000	-83,331833
7500,000000	-85,016029
7531,250000	-87,844803
7562,500000	-97,120743
7593,750000	-98,316154
7625,000000	-111,155823
7656,250000	-107,656479
7687,500000	-111,318817
7718,750000	-110,330589
7750,000000	-110,799667
7781,250000	-110,679893
7812,500000	-110,911667
7843,750000	-110,843864
7875,000000	-110,890671
7906,250000	-110,911636
7937,500000	-110,926254
7968,750000	-110,935371
