Frequency (Hz)	Level (dB)
31,250000	-32,411713
62,500000	-30,298428
93,750000	-40,439159
125,000000	-50,382889
156,250000	-58,921249
187,500000	-58,731922
218,750000	-53,653297
250,000000	-50,752529
281,250000	-52,733185
312,500000	-61,279938
343,750000	-54,543682
375,000000	-56,543972
406,250000	-58,924782
437,500000	-59,523140
468,750000	-58,051514
500,000000	-74,608582
531,250000	-68,427650
562,500000	-61,182991
593,750000	-70,048416
625,000000	-70,243240
656,250000	-67,902718
687,500000	-77,892349
718,750000	-66,099724
750,000000	-62,840424
781,250000	-74,917076
812,500000	-66,715149
843,750000	-74,814659
875,000000	-69,487556
906,250000	-71,366425
937,500000	-65,374741
968,750000	-72,868294
1000,000000	-76,716850
1031,250000	-71,502464
1062,500000	-72,544640
1093,750000	-68,897369
1125,000000	-69,558945
1156,250000	-69,745560
1187,500000	-81,394852
1218,750000	-84,601830
1250,000000	-66,210815
1281,250000	-70,976471
1312,500000	-80,898697
1343,750000	-72,337273
1375,000000	-72,937111
1406,250000	-72,382484
1437,500000	-77,026756
1468,750000	-87,524765
1500,000000	-71,753014
1531,250000	-76,973595
1562,500000	-79,691261
1593,750000	-72,155121
1625,000000	-74,361069
1656,250000	-67,958427
1687,500000	-76,321907
1718,750000	-72,163872
1750,000000	-76,507393
1781,250000	-74,659111
1812,500000	-77,666817
1843,750000	-80,500092
1875,000000	-73,212051
1906,250000	-78,198631
1937,500000	-69,501617
1968,750000	-74,996384
2000,000000	-79,452194
2031,250000	-71,912239
2062,500000	-78,994972
2093,750000	-75,934311
2125,000000	-76,609886
2156,250000	-78,933250
2187,500000	-72,681831
2218,750000	-80,106186
2250,000000	-75,725616
2281,250000	-75,042923
2312,500000	-72,275650
2343,750000	-72,319427
2375,000000	-77,081673
2406,250000	-82,590179
2437,500000	-77,054764
2468,750000	-79,205399
2500,000000	-72,472786
2531,250000	-84,573586
2562,500000	-90,290474
2593,750000	-86,245834
2625,000000	-78,524338
2656,250000	-77,255264
2687,500000	-75,282837
2718,750000	-75,810051
2750,000000	-79,121849
2781,250000	-86,157822
2812,500000	-78,919708
2843,750000	-77,179436
2875,000000	-76,808601
2906,250000	-76,707520
2937,500000	-74,047943
2968,750000	-71,234932
3000,000000	-73,582657
3031,250000	-70,761505
3062,500000	-78,005257
3093,750000	-80,779594
3125,000000	-78,986755
3156,250000	-75,178375
3187,500000	-80,147934
3218,750000	-73,465385
3250,000000	-71,461365
3281,250000	-71,804703
3312,500000	-76,606941
3343,750000	-74,052483
3375,000000	-74,933647
3406,250000	-76,855682
3437,500000	-78,974434
3468,750000	-77,135582
3500,000000	-72,628052
3531,250000	-79,983246
3562,500000	-83,257469
3593,750000	-76,265694
3625,000000	-76,200600
3656,250000	-73,793991
3687,500000	-78,356796
3718,750000	-77,538345
3750,000000	-78,119095
3781,250000	-78,852676
3812,500000	-80,650993
3843,750000	-80,974518
3875,000000	-76,664055
3906,250000	-73,316818
3937,500000	-79,351036
3968,750000	-76,584763
4000,000000	-79,566643
4031,250000	-76,911896
4062,500000	-75,915977
4093,750000	-81,887024
4125,000000	-78,812714
4156,250000	-74,859634
4187,500000	-75,825233
4218,750000	-82,420303
4250,000000	-83,725288
4281,250000	-82,708519
4312,500000	-76,336197
4343,750000	-73,930267
4375,000000	-77,677231
4406,250000	-84,757797
4437,500000	-74,334320
4468,750000	-84,662354
4500,000000	-89,853249
4531,250000	-79,465103
4562,500000	-85,044945
4593,750000	-81,365082
4625,000000	-92,004990
4656,250000	-78,287544
4687,500000	-74,294495
4718,750000	-78,049103
4750,000000	-81,682686
4781,250000	-80,347870
4812,500000	-80,987648
4843,750000	-77,151703
4875,000000	-80,210541
4906,250000	-83,484497
4937,500000	-81,835098
4968,750000	-92,701546
5000,000000	-80,406296
5031,250000	-80,788124
5062,500000	-86,695976
5093,750000	-77,019951
5125,000000	-77,421982
5156,250000	-85,412956
5187,500000	-81,235504
5218,750000	-77,230751
5250,000000	-91,229187
5281,250000	-83,823029
5312,500000	-80,155411
5343,750000	-82,220154
5375,000000	-75,596451
5406,250000	-80,288109
5437,500000	-93,785568
5468,750000	-75,196259
5500,000000	-75,298882
5531,250000	-76,990448
5562,500000	-98,060860
5593,750000	-96,654137
5625,000000	-82,272888
5656,250000	-91,622253
5687,500000	-82,850014
5718,750000	-89,747276
5750,000000	-100,656006
5781,250000	-81,708267
5812,500000	-82,971207
5843,750000	-87,177483
5875,000000	-84,054115
5906,250000	-83,011627
5937,500000	-78,594330
5968,750000	-78,416588
6000,000000	-77,672501
6031,250000	-92,821060
6062,500000	-85,978157
6093,750000	-89,541664
6125,000000	-86,168556
6156,250000	-86,578346
6187,500000	-98,527336
6218,750000	-95,416222
6250,000000	-96,128487
6281,250000	-87,754982
6312,500000	-80,496864
6343,750000	-109,978996
6375,000000	-86,789459
6406,250000	-83,820045
6437,500000	-88,265434
6468,750000	-83,872871
6500,000000	-86,569092
6531,250000	-84,407593
6562,500000	-82,327560
6593,750000	-79,934937
6625,000000	-79,592972
6656,250000	-83,890327
6687,500000	-79,098190
6718,750000	-85,647141
6750,000000	-88,583755
6781,250000	-87,384163
6812,500000	-87,527168
6843,750000	-82,816246
6875,000000	-101,259735
6906,250000	-84,468681
6937,500000	-107,133217
6968,750000	-88,642708
7000,000000	-79,164742
7031,250000	-90,281433
7062,500000	-91,381790
7093,750000	-83,932816
7125,000000	-94,460320
7156,250000	-86,282768
7187,500000	-89,295242
7218,750000	-92,602493
7250,000000	-89,923538
7281,250000	-95,507301
7312,500000	-90,188568
7343,750000	-87,938576
7375,000000	-84,801765
7406,250000	-87,347626
7437,500000	-84,658539
7468,750000	-87,200951
7500,000000	-87,440338
7531,250000	-90,934883
7562,500000	-85,734184
7593,750000	-99,736443
7625,000000	-88,375298
7656,250000	-94,431961
7687,500000	-90,773544
7718,750000	-87,718727
7750,000000	-102,298569
7781,250000	-88,775764
7812,500000	-87,789024
7843,750000	-88,167557
7875,000000	-90,773178
7906,250000	-90,687126
7937,500000	-98,940102
7968,750000	-93,788666
